# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        9.809       18.891
      10.020        8.000      456.320     4528.824
      20.048        4.300      456.320     4528.824
      30.075        4.300      456.320     4528.824
      40.103        4.400      456.320     4528.824
      50.128       12.200      521.195     4942.469
      60.156       10.700      569.422     4990.953
      70.184        9.800      613.250     5034.672
      80.212       10.900      671.211     5092.656
      90.240       12.300      732.820     5154.207
     100.268        8.300      769.941     5191.238
     110.296        8.100      804.227     5225.473
     120.317        6.600      827.168     5248.398
     130.347        6.300      850.312     5271.750
     140.365        7.400      879.703     5300.883
     150.393        9.800      931.520     5352.957
     160.420       13.000      996.484     5417.840
     170.448        7.700     1032.578     5453.883
     180.476        9.400     1070.477     5491.734
     190.504        7.600     1099.348     5520.691
     200.532        8.300     1134.152     5555.582
     210.560        8.900     1174.363     5595.711
     220.588        8.600     1209.422     5630.875
     230.616        6.800     1238.504     5659.961
     240.644        8.200     1272.793     5694.184
     250.672        5.300     1294.449     5715.797
     260.700        7.500     1327.707     5748.949
     270.721        6.300     1353.742     5775.020
     280.748        6.300     1380.949     5802.266
     290.776        9.700     1426.066     5847.496
     300.804        9.200     1464.809     5886.383
     310.832        6.400     1491.621     5912.953
     320.860        5.700     1514.566     5936.039
     330.888        6.300     1541.637     5963.148
     340.916        5.600     1564.828     5986.266
     350.944        5.600     1589.578     6010.961
     360.972        6.700     1620.516     6041.828
     371.000        8.200     1657.383     6078.602
     381.028        7.600     1687.547     6108.938
     391.056        8.100     1721.578     6143.035
     401.077       18.100      477.785     4971.145
     411.104       10.400      477.785     4971.145
     421.132       11.700      477.785     4971.145
     431.160       10.300      477.785     4971.145
     441.188        9.700      477.785     4971.145
     451.216        7.300      477.785     4971.145
     461.244       13.600      477.785     4971.145
     471.272       10.000      477.945     4971.145
     481.300       14.200      477.945     4971.145
     491.328        8.500      477.945     4971.145
     501.356        7.800      477.945     4971.145
     511.381        7.100      477.945     4971.145
     521.408        9.000      477.945     4971.145
     531.433       15.800      477.945     4971.145
     541.460       12.100      477.945     4971.145
     551.488       10.400      477.945     4971.145
     561.516        9.500      477.945     4971.145
     571.541       10.600      477.945     4971.145
     581.571        7.400      477.945     4971.145
     591.597        8.700      477.945     4971.145
     601.627       21.100      477.945     4971.145
     611.653       11.400      477.945     4971.145
     621.681       10.800      477.945     4971.145
