# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.816       17.996
      10.016        6.800     1410.723     8068.430
      20.040       65.400     2414.387     9072.113
      30.063       76.900      721.605     7523.207
      40.085       91.800      721.605     7523.207
      50.109       97.600      721.605     7523.207
      60.134      158.900     1203.285    10654.684
      70.157      180.500     3918.234    10726.527
      80.182       99.600     4407.758    11265.293
      90.203      433.000     8062.355    32600.457
     100.219     1329.300     5434.188    13553.621
     110.235     1371.700     5434.188    13553.621
     120.255     1367.100     5434.188    13553.621
     130.278     1375.300     5434.188    13553.621
     140.295     1375.200     5435.734    13553.621
     150.311     1370.900     5437.281    13553.621
     160.331     1369.900     5437.281    13553.621
     170.351     1366.000     5437.281    13553.621
     180.371     1374.300     5437.281    13553.621
     190.387     1369.700     5437.281    13553.621
     200.411     1372.000     5437.281    13553.621
     210.431     1378.900     5437.281    13553.621
     220.451     1370.200     5437.281    13553.621
     230.467     1370.300     5437.281    13553.621
     240.487     1368.900     5437.281    13553.621
     250.507      754.200     8216.098    34060.590
     260.527     1353.700     5440.879    14082.129
     270.547     1375.700     5440.879    14082.129
     280.567     1373.600     5440.879    14082.129
     290.587     1366.900     5440.879    14082.129
     300.607     1379.600     5440.879    14082.129
     310.627     1369.900     5440.879    14082.129
     320.643     1375.700     5451.656    14094.129
     330.663     1371.200     5451.656    14094.129
     340.683     1370.000     5451.656    14094.129
     350.703     1368.700     5451.656    14094.129
     360.719     1371.500     5451.656    14094.129
     370.739     1380.200     5451.656    14094.129
     380.755     1378.500     5451.656    14094.129
     390.775     1377.100     5451.656    14094.129
     400.791     1371.300     5451.656    14094.129
     410.811      725.800     8021.133    33856.949
     420.831     1382.100     5452.965    14094.129
     430.847     1362.900     5452.965    14094.129
     440.867     1378.500     5452.965    14094.129
     450.887     1364.400     5452.965    14094.129
     460.907     1372.900     5452.965    14094.129
     470.923     1368.000     5452.965    14094.129
     480.943     1361.100     5452.965    14094.129
     490.963     1367.700     5452.965    14094.129
     500.983     1369.000     5452.965    14094.129
     511.001     1376.600     5452.965    14094.129
     521.023     1359.500     5452.965    14094.129
     531.043     1373.200     5452.965    14094.129
     541.063     1366.500     5452.965    14094.129
     551.083     1376.900     5452.965    14094.129
     561.099     1369.400     5452.965    14094.129
     571.121      773.200     7715.387    32425.113
     581.143     1340.500     5452.996    14094.129
     591.159     1379.600     5452.996    14094.129
     601.175     1371.400     5452.996    14094.129
     611.195     1374.700     5452.996    14094.129
     621.211     1360.300     5452.996    14094.129
     631.235     1374.700     5452.996    14094.129
     641.255     1378.600     5452.996    14094.129
     651.275     1369.200     5452.996    14094.129
     661.294     1368.800     5452.996    14094.129
     671.315     1368.800     5452.996    14094.129
     681.339     1371.100     5452.996    14094.129
     691.355     1374.100     5452.996    14094.129
     701.378     1374.700     5452.996    14094.129
     711.399     1373.300     5452.996    14094.129
     721.415     1374.200     5452.996    14094.129
     731.435      915.600     7133.207    27794.461
     741.459     1154.800     5453.012    14094.129
     751.475     1375.900     5453.012    14094.129
     761.495     1363.000     5453.012    14094.129
     771.515     1368.000     5453.012    14094.129
     781.535     1371.800     5453.012    14094.129
     791.555     1358.600     5453.012    14094.129
     801.575     1363.200     5453.012    14094.129
     811.599     1361.000     5453.012    14094.129
     821.619     1368.900     5453.012    14094.129
     831.643     1367.000     5453.012    14094.129
     841.663     1369.600     5453.012    14094.129
     851.679     1370.500     5453.012    14094.129
     861.699     1368.900     5453.012    14094.129
     871.719     1372.900     5453.012    14094.129
     881.735     1377.700     5453.012    14094.129
     891.758     1070.900     6584.238    23272.496
     901.779     1025.800     5453.047    14094.129
     911.803     1376.900     5453.047    14094.129
     921.823     1362.200     5453.047    14094.129
     931.839     1372.200     5453.047    14094.129
     941.855     1371.200     5453.047    14094.129
     951.877     1362.600     5453.047    14094.129
     961.895     1372.600     5453.047    14094.129
     971.915     1374.100     5453.047    14094.129
     981.935     1370.600     5453.047    14094.129
     991.955     1363.000     5453.047    14094.129
    1001.975     1365.300     5453.047    14094.129
    1011.995     1373.200     5453.047    14094.129
    1022.011     1356.200     5453.047    14094.129
    1032.027     1367.900     5453.047    14094.129
    1042.051     1375.200     5453.047    14094.129
    1052.070     1277.800     5884.680    18325.574
    1062.091      819.300     5453.027    14094.129
    1072.115     1360.400     5453.027    14094.129
    1082.131     1364.900     5453.027    14094.129
    1092.147     1374.800     5453.027    14094.129
    1102.167     1370.900     5463.785    14106.129
    1112.183     1372.300     5463.785    14106.129
    1122.203     1366.100     5463.785    14106.129
    1132.219     1382.500     5463.785    14106.129
    1142.235     1380.700     5463.785    14106.129
    1152.255     1363.700     5463.785    14106.129
    1162.271     1364.100     5463.785    14106.129
    1172.295     1371.700     5463.785    14106.129
    1182.311     1363.700     5463.785    14106.129
    1192.331     1370.600     5463.785    14106.129
    1202.351     1367.600     5463.785    14106.129
    1212.371     1368.400     5463.785    14106.129
    1222.387      718.400     5465.105    14106.129
    1232.411     1372.500     5465.105    14106.129
    1242.431     1374.200     5465.105    14106.129
    1252.451     1370.400     5465.105    14106.129
    1262.471     1372.500     5465.105    14106.129
    1272.491     1356.000     5465.105    14106.129
    1282.511     1372.500     5465.105    14106.129
    1292.531     1367.100     5465.105    14106.129
    1302.547     1368.800     5465.105    14106.129
    1312.567     1365.500     5465.105    14106.129
    1322.586     1373.500     5465.105    14106.129
    1332.607     1369.300     5465.105    14106.129
    1342.627     1372.300     5465.105    14106.129
    1352.647     1370.600     5465.105    14106.129
    1362.667     1369.100     5465.105    14106.129
    1372.687     1360.100     5465.105    14106.129
    1382.703      745.500     8500.375    34296.891
    1392.723     1343.300     5465.094    14106.129
    1402.739     1369.300     5465.094    14106.129
    1412.755     1366.400     5465.094    14106.129
    1422.779     1361.500     5465.094    14106.129
    1432.799     1362.500     5465.094    14106.129
    1442.823     1369.400     5465.094    14106.129
    1452.843     1366.400     5465.094    14106.129
    1462.865     1374.600     5465.094    14106.129
    1472.887     1379.100     5465.094    14106.129
    1482.907     1371.700     5465.094    14106.129
    1492.927     1373.500     5465.094    14106.129
    1502.947     1371.200     5465.094    14106.129
    1512.967     1376.800     5465.094    14106.129
    1522.987     1371.100     5465.094    14106.129
    1533.007     1372.800     5465.094    14106.129
    1543.023      751.300     8245.031    34082.480
    1553.047     1360.200     5465.238    14106.129
    1563.067     1364.600     5465.238    14106.129
    1573.087     1365.600     5465.238    14106.129
    1583.111     1369.800     5465.238    14106.129
    1593.127     1377.800     5465.238    14106.129
    1603.143     1378.400     5465.238    14106.129
    1613.163     1364.800     5465.238    14106.129
    1623.183     1374.100     5465.238    14106.129
    1633.203     1369.100     5465.238    14106.129
    1643.223     1368.900     5465.238    14106.129
    1653.243     1356.600     5465.238    14106.129
    1663.263     1369.400     5465.238    14106.129
    1673.283     1383.200     5465.238    14106.129
    1683.303     1372.000     5465.238    14106.129
